Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
27,21,16,3,0,168.75,5,bowled,1,v West Indies,Indore,8 Dec 2011,https://stats.espncricinfo.com/ci/engine/match/536932.html
21,31,26,1,0,80.76,6,bowled,1,v West Indies,Chennai,11 Dec 2011,https://stats.espncricinfo.com/ci/engine/match/536933.html
21,34,21,2,0,100.00,4,caught,2,v Australia,Melbourne,5 Feb 2012,https://stats.espncricinfo.com/ci/engine/match/518956.html
10,29,17,1,0,58.82,4,caught,2,v Sri Lanka,W.A.C.A,8 Feb 2012,https://stats.espncricinfo.com/ci/engine/match/518957.html
33,49,41,1,1,80.48,4,caught,2,v Australia,Adelaide,12 Feb 2012,https://stats.espncricinfo.com/ci/engine/match/518959.html
15,30,27,2,0,55.55,4,run out,2,v Sri Lanka,Adelaide,14 Feb 2012,https://stats.espncricinfo.com/ci/engine/match/518960.html
0,6,5,0,0,0.00,4,caught,2,v Australia,Brisbane,19 Feb 2012,https://stats.espncricinfo.com/ci/engine/match/518962.html
DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Mirpur,13 Mar 2012,https://stats.espncricinfo.com/ci/engine/match/535795.html
4,9,6,0,0,66.66,6,run out,1,v Bangladesh,Mirpur,16 Mar 2012,https://stats.espncricinfo.com/ci/engine/match/535797.html
68,109,83,5,1,81.92,4,caught,2,v Pakistan,Mirpur,18 Mar 2012,https://stats.espncricinfo.com/ci/engine/match/535798.html
5,10,8,0,0,62.50,4,bowled,1,v Sri Lanka,Hambantota,21 Jul 2012,https://stats.espncricinfo.com/ci/engine/match/564781.html
0,5,5,0,0,0.00,4,bowled,1,v Sri Lanka,Hambantota,24 Jul 2012,https://stats.espncricinfo.com/ci/engine/match/564782.html
0,1,1,0,0,0.00,5,lbw,2,v Sri Lanka,Colombo (RPS),28 Jul 2012,https://stats.espncricinfo.com/ci/engine/match/564783.html
4,18,14,0,0,28.57,4,lbw,2,v Sri Lanka,Colombo (RPS),31 Jul 2012,https://stats.espncricinfo.com/ci/engine/match/564784.html
4,12,9,1,0,44.44,4,bowled,1,v Sri Lanka,Pallekele,4 Aug 2012,https://stats.espncricinfo.com/ci/engine/match/564785.html
4,19,14,0,0,28.57,5,caught,1,v Pakistan,Chennai,30 Dec 2012,https://stats.espncricinfo.com/ci/engine/match/589308.html
83,135,93,11,1,89.24,2,lbw,2,v England,Mohali,23 Jan 2013,https://stats.espncricinfo.com/ci/engine/match/565815.html
4,15,9,1,0,44.44,2,caught,1,v England,Dharamsala,27 Jan 2013,https://stats.espncricinfo.com/ci/engine/match/565816.html
65,96,81,8,1,80.24,1,caught,1,v South Africa,Cardiff,6 Jun 2013,https://stats.espncricinfo.com/ci/engine/match/578614.html
52,78,56,7,0,92.85,1,caught,2,v West Indies,The Oval,11 Jun 2013,https://stats.espncricinfo.com/ci/engine/match/578619.html
18,54,32,2,0,56.25,1,caught,2,v Pakistan,Birmingham,15 Jun 2013,https://stats.espncricinfo.com/ci/engine/match/578623.html
33,77,50,4,0,66.00,1,bowled,2,v Sri Lanka,Cardiff,20 Jun 2013,https://stats.espncricinfo.com/ci/engine/match/566947.html
9,18,14,1,0,64.28,1,bowled,1,v England,Birmingham,23 Jun 2013,https://stats.espncricinfo.com/ci/engine/match/566948.html
60,129,89,4,1,67.41,1,caught,1,v West Indies,Kingston,30 Jun 2013,https://stats.espncricinfo.com/ci/engine/match/597924.html
5,16,13,0,0,38.46,1,caught,2,v Sri Lanka,Kingston,2 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/597925.html
46,124,78,5,0,58.97,1,caught,1,v West Indies,Port of Spain,5 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/597926.html
48*,126,83,2,1,57.83,1,not out,1,v Sri Lanka,Port of Spain,9 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/597928.html
58,146,89,5,1,65.16,1,bowled,2,v Sri Lanka,Port of Spain,11 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/597929.html
20,57,40,2,0,50.00,1,caught,2,v Zimbabwe,Harare,24 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/643665.html
1,5,7,0,0,14.28,1,caught,1,v Zimbabwe,Harare,26 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/643667.html
14,27,21,2,0,66.66,1,caught,2,v Zimbabwe,Harare,28 Jul 2013,https://stats.espncricinfo.com/ci/engine/match/643669.html
64*,123,90,5,1,71.11,2,not out,2,v Zimbabwe,Bulawayo,1 Aug 2013,https://stats.espncricinfo.com/ci/engine/match/643675.html
42,62,47,6,0,89.36,2,caught,2,v Australia,Pune,13 Oct 2013,https://stats.espncricinfo.com/ci/engine/match/647249.html
141*,195,123,17,4,114.63,1,not out,2,v Australia,Jaipur,16 Oct 2013,https://stats.espncricinfo.com/ci/engine/match/647251.html
11,33,22,2,0,50.00,1,caught,1,v Australia,Mohali,19 Oct 2013,https://stats.espncricinfo.com/ci/engine/match/647253.html
9*,19,13,1,0,69.23,1,not out,2,v Australia,Ranchi,23 Oct 2013,https://stats.espncricinfo.com/ci/engine/match/647255.html
79,119,89,7,3,88.76,1,caught,2,v Australia,Nagpur,30 Oct 2013,https://stats.espncricinfo.com/ci/engine/match/647259.html
209,222,158,12,16,132.27,1,caught,1,v Australia,Bengaluru,2 Nov 2013,https://stats.espncricinfo.com/ci/engine/match/647261.html
72,105,81,8,1,88.88,1,caught,2,v West Indies,Kochi,21 Nov 2013,https://stats.espncricinfo.com/ci/engine/match/676529.html
12,20,19,3,0,63.15,1,caught,1,v West Indies,Visakhapatnam,24 Nov 2013,https://stats.espncricinfo.com/ci/engine/match/676531.html
4,19,14,0,0,28.57,1,caught,2,v West Indies,Kanpur,27 Nov 2013,https://stats.espncricinfo.com/ci/engine/match/676533.html
18,69,43,2,0,41.86,1,run out,2,v South Africa,Johannesburg,5 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648651.html
19,34,26,2,0,73.07,1,caught,2,v South Africa,Durban,8 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648653.html
TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648655.html
3,24,23,0,0,13.04,1,caught,2,v New Zealand,Napier,19 Jan 2014,https://stats.espncricinfo.com/ci/engine/match/667641.html
20,42,34,2,1,58.82,2,caught,2,v New Zealand,Hamilton,22 Jan 2014,https://stats.espncricinfo.com/ci/engine/match/667643.html
39,65,38,1,4,102.63,1,caught,2,v New Zealand,Auckland,25 Jan 2014,https://stats.espncricinfo.com/ci/engine/match/667645.html
79,131,94,6,4,84.04,1,caught,1,v New Zealand,Hamilton,28 Jan 2014,https://stats.espncricinfo.com/ci/engine/match/667647.html
4,20,13,0,0,30.76,1,caught,2,v New Zealand,Wellington,31 Jan 2014,https://stats.espncricinfo.com/ci/engine/match/667649.html
21,57,29,1,1,72.41,1,bowled,2,v Bangladesh,Fatullah,26 Feb 2014,https://stats.espncricinfo.com/ci/engine/match/710293.html
13,37,28,1,0,46.42,1,lbw,1,v Sri Lanka,Fatullah,28 Feb 2014,https://stats.espncricinfo.com/ci/engine/match/710297.html
56,86,58,7,2,96.55,1,caught,1,v Pakistan,Mirpur,2 Mar 2014,https://stats.espncricinfo.com/ci/engine/match/710301.html
18*,36,24,1,0,75.00,3,not out,2,v Afghanistan,Mirpur,5 Mar 2014,https://stats.espncricinfo.com/ci/engine/match/710307.html
52,126,87,4,1,59.77,1,caught,1,v England,Cardiff,27 Aug 2014,https://stats.espncricinfo.com/ci/engine/match/667723.html
264,225,173,33,9,152.60,2,caught,1,v Sri Lanka,Eden Gardens,13 Nov 2014,https://stats.espncricinfo.com/ci/engine/match/792295.html
9,18,12,2,0,75.00,2,bowled,2,v Sri Lanka,Ranchi,16 Nov 2014,https://stats.espncricinfo.com/ci/engine/match/792297.html
138,228,139,9,4,99.28,1,caught,1,v Australia,Melbourne,18 Jan 2015,https://stats.espncricinfo.com/ci/engine/match/754749.html
15,35,20,2,0,75.00,1,caught,1,v Pakistan,Adelaide,15 Feb 2015,https://stats.espncricinfo.com/ci/engine/match/656405.html
0,13,6,0,0,0.00,1,run out,1,v South Africa,Melbourne,22 Feb 2015,https://stats.espncricinfo.com/ci/engine/match/656423.html
57*,77,55,10,1,103.63,1,not out,2,v U.A.E.,W.A.C.A,28 Feb 2015,https://stats.espncricinfo.com/ci/engine/match/656439.html
7,30,18,1,0,38.88,1,caught,2,v West Indies,W.A.C.A,6 Mar 2015,https://stats.espncricinfo.com/ci/engine/match/656453.html
64,99,66,3,3,96.96,1,bowled,2,v Ireland,Hamilton,10 Mar 2015,https://stats.espncricinfo.com/ci/engine/match/656465.html
16,24,21,2,0,76.19,1,caught,2,v Zimbabwe,Auckland,14 Mar 2015,https://stats.espncricinfo.com/ci/engine/match/656475.html
137,223,126,14,3,108.73,1,bowled,1,v Bangladesh,Melbourne,19 Mar 2015,https://stats.espncricinfo.com/ci/engine/match/656485.html
34,83,48,1,2,70.83,1,bowled,2,v Australia,Sydney,26 Mar 2015,https://stats.espncricinfo.com/ci/engine/match/656493.html
63,100,68,4,1,92.64,1,caught,2,v Bangladesh,Mirpur,18 Jun 2015,https://stats.espncricinfo.com/ci/engine/match/870731.html
0,1,2,0,0,0.00,1,caught,1,v Bangladesh,Mirpur,21 Jun 2015,https://stats.espncricinfo.com/ci/engine/match/870733.html
29,34,29,2,1,100.00,1,caught,1,v Bangladesh,Mirpur,24 Jun 2015,https://stats.espncricinfo.com/ci/engine/match/870735.html
150,215,133,13,6,112.78,1,caught,2,v South Africa,Kanpur,11 Oct 2015,https://stats.espncricinfo.com/ci/engine/match/903593.html
3,6,10,0,0,30.00,1,bowled,1,v South Africa,Indore,14 Oct 2015,https://stats.espncricinfo.com/ci/engine/match/903595.html
65,95,74,7,2,87.83,1,caught,2,v South Africa,Rajkot,18 Oct 2015,https://stats.espncricinfo.com/ci/engine/match/903597.html
21,21,19,4,0,110.52,1,caught,1,v South Africa,Chennai,22 Oct 2015,https://stats.espncricinfo.com/ci/engine/match/903599.html
16,21,20,3,0,80.00,1,caught,2,v South Africa,Wankhede,25 Oct 2015,https://stats.espncricinfo.com/ci/engine/match/903601.html
171*,205,163,13,7,104.90,1,not out,1,v Australia,W.A.C.A,12 Jan 2016,https://stats.espncricinfo.com/ci/engine/match/895807.html
124,175,127,11,3,97.63,1,run out,1,v Australia,Brisbane,15 Jan 2016,https://stats.espncricinfo.com/ci/engine/match/895809.html
6,17,11,0,0,54.54,1,caught,1,v Australia,Melbourne,17 Jan 2016,https://stats.espncricinfo.com/ci/engine/match/895811.html
41,28,25,2,3,164.00,1,caught,2,v Australia,Canberra,20 Jan 2016,https://stats.espncricinfo.com/ci/engine/match/895813.html
99,142,108,9,1,91.66,1,caught,2,v Australia,Sydney,23 Jan 2016,https://stats.espncricinfo.com/ci/engine/match/895815.html
14,44,26,1,1,53.84,1,lbw,2,v New Zealand,Dharamsala,16 Oct 2016,https://stats.espncricinfo.com/ci/engine/match/1030219.html
15,28,27,1,1,55.55,1,caught,2,v New Zealand,Delhi,20 Oct 2016,https://stats.espncricinfo.com/ci/engine/match/1030221.html
13,35,21,2,0,61.90,1,lbw,2,v New Zealand,Mohali,23 Oct 2016,https://stats.espncricinfo.com/ci/engine/match/1030223.html
11,15,19,2,0,57.89,2,caught,2,v New Zealand,Ranchi,26 Oct 2016,https://stats.espncricinfo.com/ci/engine/match/1030225.html
70,107,65,5,3,107.69,2,caught,1,v New Zealand,Visakhapatnam,29 Oct 2016,https://stats.espncricinfo.com/ci/engine/match/1030227.html
91,146,119,7,2,76.47,1,run out,1,v Pakistan,Birmingham,4 Jun 2017,https://stats.espncricinfo.com/ci/engine/match/1022353.html
78,107,79,6,3,98.73,1,caught,1,v Sri Lanka,The Oval,8 Jun 2017,https://stats.espncricinfo.com/ci/engine/match/1022361.html
12,23,20,1,1,60.00,1,caught,2,v South Africa,The Oval,11 Jun 2017,https://stats.espncricinfo.com/ci/engine/match/1022367.html
123*,165,129,15,1,95.34,1,not out,2,v Bangladesh,Birmingham,15 Jun 2017,https://stats.espncricinfo.com/ci/engine/match/1022373.html
0,4,3,0,0,0.00,1,lbw,2,v Pakistan,The Oval,18 Jun 2017,https://stats.espncricinfo.com/ci/engine/match/1022375.html
4,-,13,0,0,30.76,1,run out,2,v Sri Lanka,Dambulla,20 Aug 2017,https://stats.espncricinfo.com/ci/engine/match/1109605.html
54,-,45,5,3,120.00,1,lbw,2,v Sri Lanka,Pallekele,24 Aug 2017,https://stats.espncricinfo.com/ci/engine/match/1109606.html
124*,-,145,16,2,85.51,1,not out,2,v Sri Lanka,Pallekele,27 Aug 2017,https://stats.espncricinfo.com/ci/engine/match/1109607.html
104,-,88,11,3,118.18,1,caught,1,v Sri Lanka,Colombo (RPS),31 Aug 2017,https://stats.espncricinfo.com/ci/engine/match/1109608.html
16,-,20,1,0,80.00,1,caught,2,v Sri Lanka,Colombo (RPS),3 Sep 2017,https://stats.espncricinfo.com/ci/engine/match/1109609.html
28,81,44,3,0,63.63,2,caught,1,v Australia,Chennai,17 Sep 2017,https://stats.espncricinfo.com/ci/engine/match/1119496.html
7,24,14,1,0,50.00,2,caught,1,v Australia,Eden Gardens,21 Sep 2017,https://stats.espncricinfo.com/ci/engine/match/1119497.html
71,94,62,6,4,114.51,2,caught,2,v Australia,Indore,24 Sep 2017,https://stats.espncricinfo.com/ci/engine/match/1119498.html
65,93,55,1,5,118.18,2,run out,2,v Australia,Bengaluru,28 Sep 2017,https://stats.espncricinfo.com/ci/engine/match/1119499.html
125,165,109,11,5,114.67,2,caught,2,v Australia,Nagpur,1 Oct 2017,https://stats.espncricinfo.com/ci/engine/match/1119500.html
20,27,18,0,2,111.11,1,bowled,1,v New Zealand,Wankhede,22 Oct 2017,https://stats.espncricinfo.com/ci/engine/match/1120090.html
7,17,19,1,0,36.84,1,caught,2,v New Zealand,Pune,25 Oct 2017,https://stats.espncricinfo.com/ci/engine/match/1120091.html
147,168,138,18,2,106.52,1,caught,1,v New Zealand,Kanpur,29 Oct 2017,https://stats.espncricinfo.com/ci/engine/match/1120092.html
2,19,13,0,0,15.38,1,caught,1,v Sri Lanka,Dharamsala,10 Dec 2017,https://stats.espncricinfo.com/ci/engine/match/1122726.html
208*,212,153,13,12,135.94,1,not out,1,v Sri Lanka,Mohali,13 Dec 2017,https://stats.espncricinfo.com/ci/engine/match/1122727.html
7,14,14,0,1,50.00,1,bowled,2,v Sri Lanka,Visakhapatnam,17 Dec 2017,https://stats.espncricinfo.com/ci/engine/match/1122728.html
20,25,30,2,1,66.66,1,caught,2,v South Africa,Durban,1 Feb 2018,https://stats.espncricinfo.com/ci/engine/match/1122279.html
15,19,17,2,1,88.23,1,caught,2,v South Africa,Centurion,4 Feb 2018,https://stats.espncricinfo.com/ci/engine/match/1122280.html
0,4,6,0,0,0.00,1,caught,1,v South Africa,Cape Town,7 Feb 2018,https://stats.espncricinfo.com/ci/engine/match/1122281.html
5,19,13,1,0,38.46,1,caught,1,v South Africa,Johannesburg,10 Feb 2018,https://stats.espncricinfo.com/ci/engine/match/1122282.html
115,179,126,11,4,91.26,2,caught,1,v South Africa,Gqeberha,13 Feb 2018,https://stats.espncricinfo.com/ci/engine/match/1122283.html
15,14,13,3,0,115.38,2,caught,2,v South Africa,Centurion,16 Feb 2018,https://stats.espncricinfo.com/ci/engine/match/1122284.html
137*,-,114,15,4,120.17,1,not out,2,v England,Nottingham,12 Jul 2018,https://stats.espncricinfo.com/ci/engine/match/1119546.html
15,-,26,2,0,57.69,1,bowled,2,v England,Lord's,14 Jul 2018,https://stats.espncricinfo.com/ci/engine/match/1119547.html
2,24,18,0,0,11.11,1,caught,1,v England,Leeds,17 Jul 2018,https://stats.espncricinfo.com/ci/engine/match/1119548.html
23,-,22,4,0,104.54,1,caught,1,v Hong Kong,Dubai (DICS),18 Sep 2018,https://stats.espncricinfo.com/ci/engine/match/1153246.html
52,-,39,6,3,133.33,1,bowled,2,v Pakistan,Dubai (DICS),19 Sep 2018,https://stats.espncricinfo.com/ci/engine/match/1153247.html
83*,-,104,5,3,79.80,1,not out,2,v Bangladesh,Dubai (DICS),21 Sep 2018,https://stats.espncricinfo.com/ci/engine/match/1153249.html
111*,-,119,7,4,93.27,1,not out,2,v Pakistan,Dubai (DICS),23 Sep 2018,https://stats.espncricinfo.com/ci/engine/match/1153251.html
48,-,55,3,3,87.27,1,caught,2,v Bangladesh,Dubai (DICS),28 Sep 2018,https://stats.espncricinfo.com/ci/engine/match/1153255.html
152*,-,117,15,8,129.91,1,not out,2,v West Indies,Guwahati,21 Oct 2018,https://stats.espncricinfo.com/ci/engine/match/1157754.html
4,14,8,1,0,50.00,1,caught,1,v West Indies,Visakhapatnam,24 Oct 2018,https://stats.espncricinfo.com/ci/engine/match/1157755.html
8,-,9,2,0,88.88,1,bowled,2,v West Indies,Pune,27 Oct 2018,https://stats.espncricinfo.com/ci/engine/match/1157756.html
162,-,137,20,4,118.24,1,caught,1,v West Indies,Brabourne,29 Oct 2018,https://stats.espncricinfo.com/ci/engine/match/1157757.html
63*,65,56,5,4,112.50,1,not out,2,v West Indies,Thiruvananthapuram,1 Nov 2018,https://stats.espncricinfo.com/ci/engine/match/1157758.html
133,204,129,10,6,103.10,1,caught,2,v Australia,Sydney,12 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1144997.html
43,71,52,2,2,82.69,1,caught,2,v Australia,Adelaide,15 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1144998.html
9,-,17,1,0,52.94,1,caught,2,v Australia,Melbourne,18 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1144999.html
11,38,24,1,0,45.83,1,caught,2,v New Zealand,Napier,23 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1153691.html
87,116,96,9,3,90.62,1,caught,1,v New Zealand,Mount Maunganui,26 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1153692.html
62,115,77,3,2,80.51,1,stumped,2,v New Zealand,Mount Maunganui,28 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1153693.html
7,33,23,0,0,30.43,1,caught,1,v New Zealand,Hamilton,31 Jan 2019,https://stats.espncricinfo.com/ci/engine/match/1153694.html
2,16,16,0,0,12.50,1,bowled,1,v New Zealand,Wellington,3 Feb 2019,https://stats.espncricinfo.com/ci/engine/match/1153695.html
37,-,66,5,0,56.06,1,caught,2,v Australia,Hyderabad,2 Mar 2019,https://stats.espncricinfo.com/ci/engine/match/1168242.html
0,-,6,0,0,0.00,1,caught,1,v Australia,Nagpur,5 Mar 2019,https://stats.espncricinfo.com/ci/engine/match/1168243.html
14,-,14,2,1,100.00,2,lbw,2,v Australia,Ranchi,8 Mar 2019,https://stats.espncricinfo.com/ci/engine/match/1168244.html
95,-,92,7,2,103.26,1,caught,1,v Australia,Mohali,10 Mar 2019,https://stats.espncricinfo.com/ci/engine/match/1168245.html
56,-,89,4,0,62.92,1,stumped,2,v Australia,Delhi,13 Mar 2019,https://stats.espncricinfo.com/ci/engine/match/1168246.html
122*,212,144,13,2,84.72,2,not out,2,v South Africa,Southampton,5 Jun 2019,https://stats.espncricinfo.com/ci/engine/match/1144490.html
57,101,70,3,1,81.42,1,caught,1,v Australia,The Oval,9 Jun 2019,https://stats.espncricinfo.com/ci/engine/match/1144496.html
140,153,113,14,3,123.89,2,caught,1,v Pakistan,Manchester,16 Jun 2019,https://stats.espncricinfo.com/ci/engine/match/1144504.html
1,60,10,0,0,10.00,2,bowled,1,v Afghanistan,Southampton,22 Jun 2019,https://stats.espncricinfo.com/ci/engine/match/1144510.html
18,28,23,1,1,78.26,2,caught,1,v West Indies,Manchester,27 Jun 2019,https://stats.espncricinfo.com/ci/engine/match/1144516.html
102,152,109,15,0,93.57,2,caught,2,v England,Birmingham,30 Jun 2019,https://stats.espncricinfo.com/ci/engine/match/1144520.html
104,121,92,7,5,113.04,2,caught,1,v Bangladesh,Birmingham,2 Jul 2019,https://stats.espncricinfo.com/ci/engine/match/1144522.html
103,133,94,14,2,109.57,2,caught,2,v Sri Lanka,Leeds,6 Jul 2019,https://stats.espncricinfo.com/ci/engine/match/1144526.html
1,7,4,0,0,25.00,2,caught,2,v New Zealand,Manchester,9 Jul 2019,https://stats.espncricinfo.com/ci/engine/match/1144528.html
TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,8 Aug 2019,https://stats.espncricinfo.com/ci/engine/match/1188624.html
18,75,34,2,0,52.94,2,caught,1,v West Indies,Port of Spain,11 Aug 2019,https://stats.espncricinfo.com/ci/engine/match/1188625.html
10,13,6,2,0,166.66,1,run out,2,v West Indies,Port of Spain,14 Aug 2019,https://stats.espncricinfo.com/ci/engine/match/1188626.html
36,-,56,6,0,64.28,1,caught,1,v West Indies,Chennai,15 Dec 2019,https://stats.espncricinfo.com/ci/engine/match/1187021.html
159,-,138,17,5,115.21,1,caught,1,v West Indies,Visakhapatnam,18 Dec 2019,https://stats.espncricinfo.com/ci/engine/match/1187022.html
63,-,63,8,1,100.00,1,caught,2,v West Indies,Cuttack,22 Dec 2019,https://stats.espncricinfo.com/ci/engine/match/1187023.html
10,-,15,2,0,66.66,1,caught,1,v Australia,Wankhede,14 Jan 2020,https://stats.espncricinfo.com/ci/engine/match/1187027.html
42,-,44,6,0,95.45,1,lbw,1,v Australia,Rajkot,17 Jan 2020,https://stats.espncricinfo.com/ci/engine/match/1187028.html
119,-,128,8,6,92.96,1,caught,2,v Australia,Bengaluru,19 Jan 2020,https://stats.espncricinfo.com/ci/engine/match/1187029.html
28,79,42,4,0,66.66,1,caught,1,v England,Pune,23 Mar 2021,https://stats.espncricinfo.com/ci/engine/match/1243393.html
25,38,25,5,0,100.00,1,caught,1,v England,Pune,26 Mar 2021,https://stats.espncricinfo.com/ci/engine/match/1243394.html
37,71,37,6,0,100.00,1,bowled,1,v England,Pune,28 Mar 2021,https://stats.espncricinfo.com/ci/engine/match/1243395.html
60,60,51,10,1,117.64,1,lbw,2,v West Indies,Ahmedabad,6 Feb 2022,https://stats.espncricinfo.com/ci/engine/match/1278676.html
5,14,8,0,0,62.50,1,caught,1,v West Indies,Ahmedabad,9 Feb 2022,https://stats.espncricinfo.com/ci/engine/match/1278677.html
13,20,15,3,0,86.66,1,bowled,1,v West Indies,Ahmedabad,11 Feb 2022,https://stats.espncricinfo.com/ci/engine/match/1278678.html
76*,79,58,7,5,131.03,1,not out,2,v England,The Oval,12 Jul 2022,https://stats.espncricinfo.com/ci/engine/match/1276907.html
0,12,10,0,0,0.00,1,lbw,2,v England,Lord's,14 Jul 2022,https://stats.espncricinfo.com/ci/engine/match/1276908.html
17,22,17,4,0,100.00,1,caught,2,v England,Manchester,17 Jul 2022,https://stats.espncricinfo.com/ci/engine/match/1276909.html
27,47,31,4,1,87.09,1,bowled,1,v Bangladesh,Mirpur,4 Dec 2022,https://stats.espncricinfo.com/ci/engine/match/1340845.html
51*,40,28,3,5,182.14,9,not out,2,v Bangladesh,Mirpur,7 Dec 2022,https://stats.espncricinfo.com/ci/engine/match/1340846.html
83,105,67,9,3,123.88,1,bowled,1,v Sri Lanka,Guwahati,10 Jan 2023,https://stats.espncricinfo.com/ci/engine/match/1348643.html
17,23,21,2,1,80.95,1,caught,2,v Sri Lanka,Eden Gardens,12 Jan 2023,https://stats.espncricinfo.com/ci/engine/match/1348644.html
42,63,49,2,3,85.71,1,caught,1,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,https://stats.espncricinfo.com/ci/engine/match/1348645.html
34,49,38,4,2,89.47,1,caught,1,v New Zealand,Hyderabad,18 Jan 2023,https://stats.espncricinfo.com/ci/engine/match/1348646.html
51,65,50,7,2,102.00,1,lbw,2,v New Zealand,Raipur,21 Jan 2023,https://stats.espncricinfo.com/ci/engine/match/1348647.html
101,113,85,9,6,118.82,1,bowled,1,v New Zealand,Indore,24 Jan 2023,https://stats.espncricinfo.com/ci/engine/match/1348648.html
13,24,15,2,0,86.66,1,caught,1,v Australia,Visakhapatnam,19 Mar 2023,https://stats.espncricinfo.com/ci/engine/match/1348657.html
30,44,17,2,2,176.47,1,caught,2,v Australia,Chennai,22 Mar 2023,https://stats.espncricinfo.com/ci/engine/match/1348658.html
12*,17,19,2,0,63.15,7,not out,2,v West Indies,Bridgetown,27 Jul 2023,https://stats.espncricinfo.com/ci/engine/match/1381214.html
11,25,22,2,0,50.00,1,bowled,1,v Pakistan,Pallekele,2 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1388394.html
74*,87,59,6,5,125.42,1,not out,2,v Nepal,Pallekele,4 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1388398.html
56,77,49,6,4,114.28,1,caught,1,v Pakistan,Colombo (RPS),10 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1388406.html
53,73,48,7,2,110.41,1,bowled,1,v Sri Lanka,Colombo (RPS),12 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1388407.html
0,3,2,0,0,0.00,1,caught,2,v Bangladesh,Colombo (RPS),15 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1388412.html
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),17 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1388414.html
81,94,57,5,6,142.10,1,caught,2,v Australia,Rajkot,27 Sep 2023,https://stats.espncricinfo.com/ci/engine/match/1389390.html
0,10,6,0,0,0.00,1,lbw,2,v Australia,Chennai,8 Oct 2023,https://stats.espncricinfo.com/ci/engine/match/1384396.html
131,111,84,16,5,155.95,1,bowled,2,v Afghanistan,Delhi,11 Oct 2023,https://stats.espncricinfo.com/ci/engine/match/1384400.html
86,91,63,6,6,136.50,1,caught,2,v Pakistan,Ahmedabad,14 Oct 2023,https://stats.espncricinfo.com/ci/engine/match/1384403.html
48,51,40,7,2,120.00,1,caught,2,v Bangladesh,Pune,19 Oct 2023,https://stats.espncricinfo.com/ci/engine/match/1384408.html
46,44,40,4,4,115.00,1,bowled,2,v New Zealand,Dharamsala,22 Oct 2023,https://stats.espncricinfo.com/ci/engine/match/1384412.html
87,162,101,10,3,86.13,1,caught,1,v England,Lucknow,29 Oct 2023,https://stats.espncricinfo.com/ci/engine/match/1384420.html
4,2,2,1,0,200.00,1,bowled,1,v Sri Lanka,Wankhede,2 Nov 2023,https://stats.espncricinfo.com/ci/engine/match/1384424.html
40,32,24,6,2,166.66,1,caught,1,v South Africa,Eden Gardens,5 Nov 2023,https://stats.espncricinfo.com/ci/engine/match/1384428.html
61,74,54,8,2,112.96,1,caught,1,v Netherlands,Bengaluru,12 Nov 2023,https://stats.espncricinfo.com/ci/engine/match/1384436.html
47,40,29,4,4,162.06,1,caught,1,v New Zealand,Wankhede,15 Nov 2023,https://stats.espncricinfo.com/ci/engine/match/1384437.html
47,44,31,4,3,151.61,1,caught,1,v Australia,Ahmedabad,19 Nov 2023,https://stats.espncricinfo.com/ci/engine/match/1384439.html
58,55,47,7,3,123.40,1,lbw,2,v Sri Lanka,Colombo (RPS),2 Aug 2024,https://stats.espncricinfo.com/ci/engine/match/1442990.html
64,58,44,5,4,145.45,1,caught,2,v Sri Lanka,Colombo (RPS),4 Aug 2024,https://stats.espncricinfo.com/ci/engine/match/1442991.html
35,32,20,6,1,175.00,1,caught,2,v Sri Lanka,Colombo (RPS),7 Aug 2024,https://stats.espncricinfo.com/ci/engine/match/1442992.html
2,25,7,0,0,28.57,2,caught,2,v England,Nagpur,6 Feb 2025,https://stats.espncricinfo.com/ci/engine/match/1439904.html
119,142,90,12,7,132.22,1,caught,2,v England,Cuttack,9 Feb 2025,https://stats.espncricinfo.com/ci/engine/match/1439905.html
