Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
47,102,74,6,1,63.51,6,caught,4,v South Africa,Centurion,13 Jan 2018,https://stats.espncricinfo.com/ci/engine/match/1122277.html
37,71,61,2,3,60.65,6,caught,1,v Australia,Adelaide,6 Dec 2018,https://stats.espncricinfo.com/ci/engine/match/1144993.html
1,15,6,0,0,16.66,6,caught,3,v Australia,Adelaide,6 Dec 2018,https://stats.espncricinfo.com/ci/engine/match/1144993.html
63*,186,114,5,0,55.26,6,not out,1,v Australia,Melbourne,26 Dec 2018,https://stats.espncricinfo.com/ci/engine/match/1144995.html
5,28,18,0,0,27.77,6,caught,3,v Australia,Melbourne,26 Dec 2018,https://stats.espncricinfo.com/ci/engine/match/1144995.html
176,-,244,23,6,72.13,2,stumped,1,v South Africa,Visakhapatnam,2 Oct 2019,https://stats.espncricinfo.com/ci/engine/match/1187007.html
127,-,149,10,7,85.23,2,stumped,3,v South Africa,Visakhapatnam,2 Oct 2019,https://stats.espncricinfo.com/ci/engine/match/1187007.html
14,-,35,1,0,40.00,2,caught,1,v South Africa,Pune,10 Oct 2019,https://stats.espncricinfo.com/ci/engine/match/1187008.html
212,-,255,28,6,83.13,2,caught,1,v South Africa,Ranchi,19 Oct 2019,https://stats.espncricinfo.com/ci/engine/match/1187009.html
6,-,14,1,0,42.85,2,caught,2,v Bangladesh,Indore,14 Nov 2019,https://stats.espncricinfo.com/ci/engine/match/1187016.html
21,-,35,2,1,60.00,2,lbw,2,v Bangladesh,Eden Gardens,22 Nov 2019,https://stats.espncricinfo.com/ci/engine/match/1187017.html
26,110,77,3,1,33.76,1,caught,2,v Australia,Sydney,7 Jan 2021,https://stats.espncricinfo.com/ci/engine/match/1223871.html
52,137,98,5,1,53.06,1,caught,4,v Australia,Sydney,7 Jan 2021,https://stats.espncricinfo.com/ci/engine/match/1223871.html
44,90,74,6,0,59.45,1,caught,2,v Australia,Brisbane,15 Jan 2021,https://stats.espncricinfo.com/ci/engine/match/1223872.html
7,34,21,1,0,33.33,1,caught,4,v Australia,Brisbane,15 Jan 2021,https://stats.espncricinfo.com/ci/engine/match/1223872.html
6,15,9,1,0,66.66,1,caught,2,v England,Chennai,5 Feb 2021,https://stats.espncricinfo.com/ci/engine/match/1243384.html
12,23,20,1,1,60.00,1,bowled,4,v England,Chennai,5 Feb 2021,https://stats.espncricinfo.com/ci/engine/match/1243384.html
161,327,231,18,2,69.69,1,caught,1,v England,Chennai,13 Feb 2021,https://stats.espncricinfo.com/ci/engine/match/1243385.html
26,91,70,2,1,37.14,1,stumped,3,v England,Chennai,13 Feb 2021,https://stats.espncricinfo.com/ci/engine/match/1243385.html
66,208,96,11,0,68.75,1,lbw,2,v England,Ahmedabad,24 Feb 2021,https://stats.espncricinfo.com/ci/engine/match/1243386.html
25*,26,25,3,1,100.00,1,not out,4,v England,Ahmedabad,24 Feb 2021,https://stats.espncricinfo.com/ci/engine/match/1243386.html
49,235,144,7,0,34.02,2,lbw,2,v England,Ahmedabad,4 Mar 2021,https://stats.espncricinfo.com/ci/engine/match/1243387.html
34,88,68,6,0,50.00,1,caught,1,v New Zealand,Southampton,18 Jun 2021,https://stats.espncricinfo.com/ci/engine/match/1249875.html
30,121,81,2,0,37.03,1,lbw,3,v New Zealand,Southampton,18 Jun 2021,https://stats.espncricinfo.com/ci/engine/match/1249875.html
36,175,107,6,0,33.64,1,caught,2,v England,Nottingham,4 Aug 2021,https://stats.espncricinfo.com/ci/engine/match/1239543.html
12*,-,34,0,0,35.29,2,not out,4,v England,Nottingham,4 Aug 2021,https://stats.espncricinfo.com/ci/engine/match/1239543.html
83,185,145,11,1,57.24,1,bowled,1,v England,Lord's,12 Aug 2021,https://stats.espncricinfo.com/ci/engine/match/1239544.html
21,60,36,2,1,58.33,2,caught,3,v England,Lord's,12 Aug 2021,https://stats.espncricinfo.com/ci/engine/match/1239544.html
19,172,105,1,0,18.09,1,caught,1,v England,Leeds,25 Aug 2021,https://stats.espncricinfo.com/ci/engine/match/1239545.html
59,221,156,7,1,37.82,1,lbw,3,v England,Leeds,25 Aug 2021,https://stats.espncricinfo.com/ci/engine/match/1239545.html
11,43,27,1,0,40.74,1,caught,1,v England,The Oval,2 Sep 2021,https://stats.espncricinfo.com/ci/engine/match/1239546.html
127,353,256,14,1,49.60,1,caught,3,v England,The Oval,2 Sep 2021,https://stats.espncricinfo.com/ci/engine/match/1239546.html
29,52,28,6,0,103.57,2,caught,1,v Sri Lanka,Mohali,4 Mar 2022,https://stats.espncricinfo.com/ci/engine/match/1278682.html
15,51,25,1,1,60.00,2,caught,1,v Sri Lanka,Bengaluru,12 Mar 2022,https://stats.espncricinfo.com/ci/engine/match/1278683.html
46,126,79,4,0,58.22,2,caught,3,v Sri Lanka,Bengaluru,12 Mar 2022,https://stats.espncricinfo.com/ci/engine/match/1278683.html
120,344,212,15,2,56.60,1,bowled,2,v Australia,Nagpur,9 Feb 2023,https://stats.espncricinfo.com/ci/engine/match/1348652.html
32,95,69,2,0,46.37,1,bowled,2,v Australia,Delhi,17 Feb 2023,https://stats.espncricinfo.com/ci/engine/match/1348653.html
31,31,20,3,2,155.00,1,run out,4,v Australia,Delhi,17 Feb 2023,https://stats.espncricinfo.com/ci/engine/match/1348653.html
12,27,23,3,0,52.17,1,stumped,1,v Australia,Indore,1 Mar 2023,https://stats.espncricinfo.com/ci/engine/match/1348654.html
12,61,33,0,0,36.36,1,lbw,3,v Australia,Indore,1 Mar 2023,https://stats.espncricinfo.com/ci/engine/match/1348654.html
35,92,58,3,1,60.34,1,caught,2,v Australia,Ahmedabad,9 Mar 2023,https://stats.espncricinfo.com/ci/engine/match/1348655.html
15,29,26,2,0,57.69,1,lbw,2,v Australia,The Oval,7 Jun 2023,https://stats.espncricinfo.com/ci/engine/match/1358412.html
43,103,60,7,1,71.66,1,lbw,4,v Australia,The Oval,7 Jun 2023,https://stats.espncricinfo.com/ci/engine/match/1358412.html
103,303,221,10,2,46.60,2,caught,2,v West Indies,Roseau,12 Jul 2023,https://stats.espncricinfo.com/ci/engine/match/1381212.html
